,name,SMT-CBS,3,5,10,EXP,EXP 1.4,EXP 1.6
0,grid_32x32_a2,0.04,0.04,0.04,0.05,0.04,0.04,0.03
1,grid_32x32_a4,0.66,0.67,0.68,0.79,0.64,0.64,0.59
2,grid_32x32_a6,0.88,1.06,0.85,1.23,0.91,0.89,0.88
3,grid_32x32_a8,1.15,1.23,1.08,1.59,1.19,1.08,1.1
4,grid_32x32_a10,0.89,1,0.84,1.16,0.92,0.82,0.86
5,grid_32x32_a12,1.77,1.94,2.22,2.44,1.7,1.61,1.74
6,grid_32x32_a14,1.27,1.35,1.53,1.86,1.32,1.2,1.19
7,grid_32x32_a16,8.1,8.58,9.34,9.77,7.37,7.31,7.26
8,grid_32x32_a18,4.35,4.92,4.81,5.87,4.03,3.91,4.1
9,grid_32x32_a20,5.6,5.71,5.4,7.18,5.26,5.11,5.07
10,grid_32x32_a22,11.16,11.19,11.62,13.18,9.78,9.64,9.92
11,grid_32x32_a24,18.53,17.19,15.14,22.78,14.38,14.34,14.78
12,grid_32x32_a26,5.96,5.46,5.46,7.13,5.5,4.87,4.96
13,grid_32x32_a28,7.32,6.81,6.65,9.68,6.83,6.59,6.28
14,grid_32x32_a30,10.58,9.41,10.27,14.19,9.34,9.08,9.37
