name,3,5,10,EXP 2,EXP 1.4,EXP 1.6,SMT-CBS
grid_16x16_a2,-0.0008958999999999981,-0.0025817000000000027,0.001957499999999999,-9.590000000000119e-05,-0.0037248999999999997,-0.001739300000000001,0.0135892
grid_16x16_a4,0.0012199999999999989,-0.001350999999999998,-0.0002589999999999988,-0.0022550000000000035,-0.004076999999999997,-0.005812000000000001,0.02
grid_16x16_a6,-0.006680300000000002,-9.129999999999902e-05,-0.0026675000000000015,-0.010513800000000004,-0.008452900000000003,-0.004889600000000001,0.0080609
grid_16x16_a8,-0.0018919999999999979,-0.004315999999999997,-0.003363999999999999,-0.004388999999999997,-0.0034689999999999964,-0.003651999999999999,0.018160000000000003
grid_16x16_a10,0.011257000000000003,0.0043470000000000175,0.008822999999999998,0.007175999999999988,0.011886,0.009453000000000017,0.061733
grid_16x16_a12,0.015321000000000001,0.013245,0.010728999999999995,0.016328000000000002,0.016582999999999994,0.018598999999999984,0.056629
grid_16x16_a14,0.017239999999999978,0.019923999999999983,0.015710999999999975,0.01658299999999996,0.010613999999999998,0.019757999999999984,0.09215599999999999
grid_16x16_a16,0.0030549999999999744,0.005458999999999992,0.005652999999999964,0.010098999999999969,-0.00273800000000006,0.005455999999999961,0.07817899999999997
grid_16x16_a18,0.041840000000000016,0.03747,0.045280000000000015,0.03037999999999999,0.038560000000000066,0.03251000000000001,0.21515
grid_16x16_a20,0.22978000000000004,0.21346000000000007,0.22095000000000006,0.21253,0.17673000000000005,0.22162000000000004,0.44916000000000006
grid_16x16_a22,0.06236999999999995,0.06526000000000001,0.045749999999999985,0.06212000000000001,0.045749999999999985,0.06790000000000002,0.21118
grid_16x16_a24,0.002620000000000011,0.01372000000000001,0.005740000000000023,0.012500000000000011,0.017729999999999996,0.017910000000000065,0.1693
grid_16x16_a26,0.01122999999999999,0.0061400000000000066,-0.02404999999999996,-0.0045800000000000285,-0.0027000000000000357,-0.01807000000000003,0.25571
grid_16x16_a28,-0.08293000000000011,-0.04661000000000015,-0.048980000000000024,-0.04586000000000001,-0.08958000000000005,-0.06458000000000014,0.43263999999999997
grid_16x16_a30,-0.07103999999999999,-0.027709999999999957,-0.07069999999999999,-0.005459999999999965,-0.021050000000000013,-0.06512000000000001,0.29091
Total,0.23249479999999983,0.29636499999999993,0.210573,0.2945622999999999,0.18206119999999998,0.2293430999999999,2.3725571
