name,3,5,10,DYN 8_2,DYN 10_3,EXP,SMT-CBS
grid_16x16_a2,-0.0005868330000000001,0.0005211670000000012,-0.0006888329999999998,-0.0005205000000000001,-0.0006121660000000008,-0.0004038329999999993,0.010256167
grid_16x16_a4,-0.0006916660000000005,-0.002233333000000004,-0.004333333000000002,-0.0012133330000000005,-0.0013983330000000016,-0.001563333,0.016821667
grid_16x16_a6,-0.0005005000000000001,-0.0012821660000000021,-0.000945500000000001,-0.0012443330000000011,-0.0013936660000000009,-0.001186333000000002,0.007380166999999999
grid_16x16_a8,0.002756667000000001,-0.0001799999999999996,0.0006166669999999978,0.0015499999999999993,0.0012850000000000014,0.0006483340000000004,0.018966667
grid_16x16_a10,0.004644999999999996,0.0015666659999999943,-0.0059100000000000055,0.002201665999999991,0.0033399999999999958,0.001631665999999997,0.060388332999999995
grid_16x16_a12,-0.0020599999999999993,-0.0029983340000000053,-0.005886667000000005,-0.007361667000000002,-0.005263334000000008,-0.0045550000000000035,0.042218333
grid_16x16_a14,0.016018333999999995,0.009694999999999995,0.011693334,0.005113333999999983,0.0021850000000000064,0.005716666999999995,0.089946667
grid_16x16_a16,0.0015499999999999958,-0.019083333999999993,-0.017726667,-0.011071666999999993,-0.0070683339999999956,-0.006104999999999999,0.072583333
grid_16x16_a18,0.009933333000000016,-0.03018333399999998,-0.06923333399999998,-0.03539999999999999,0.0012833329999999976,-0.028366666999999984,0.183133333
grid_16x16_a20,0.014883333999999998,-0.013550000000000006,-0.11505000000000004,-0.018100000000000005,0.013716667000000016,-0.031483333,0.255766667
grid_16x16_a22,0.029600000000000015,0.00923333300000001,0.0006166669999999874,0.02553333300000002,0.03891666699999999,0.01923333300000002,0.19855
grid_16x16_a24,0.01376666600000001,-0.017266666999999986,-0.08401666699999996,-0.0041333339999999885,0.020866666000000034,-0.008899999999999991,0.17728333300000002
grid_16x16_a26,0.009866666999999996,-0.055783333000000046,-0.14896666700000005,-0.0008333330000000472,0.007416666999999988,-0.0509,0.26275
grid_16x16_a28,-0.11366666700000005,-0.21741666700000006,-0.5073333329999999,-0.06994999999999996,-0.08118333299999991,-0.146033333,0.44135
grid_16x16_a30,-0.07748333299999999,-0.13375000000000004,-0.3303500000000001,-0.05703333300000002,-0.028666666000000007,-0.08246666599999997,0.299216667
Total,-0.09196899800000002,-0.4727110020000001,-1.277514333,-0.172463167,-0.036575831999999905,-0.33473349799999996,2.1366113340000004
