name,3,5,10,DYN 8_2,DYN 10_3,SMT-CBS,EXP
grid_20x20_a2,-0.0005849999999999987,-0.0009950000000000063,-0.0010216666666666673,-0.0032749999999999967,-0.002758333333333335,0.027515,-0.0008633333333333305
grid_20x20_a4,0.0005016666666666711,0.0004383333333333392,0.00039666666666667016,-0.007623333333333329,-0.004458333333333335,0.02747666666666667,-0.0004950000000000024
grid_20x20_a6,-0.00021666666666667056,0.0009349999999999914,0.0011433333333333295,-0.01620833333333333,-0.007096666666666675,0.04702833333333333,-0.008801666666666666
grid_20x20_a8,0.005930000000000005,0.006236666666666682,0.0060933333333333395,-0.02230666666666664,-0.0031066666666666465,0.10682666666666668,-0.013739999999999988
grid_20x20_a10,0.008034999999999994,0.01142499999999997,0.01031499999999999,0.001303333333333323,0.00611999999999998,0.06837833333333332,-0.0029583333333333545
grid_20x20_a12,0.015633333333333332,0.010583333333333333,0.01316666666666666,-0.04821666666666671,0.00953333333333331,0.21505,0.018316666666666703
grid_20x20_a14,-0.024266666666666686,-0.024400000000000005,-0.02495,-0.01508333333333331,-0.03706666666666669,0.22125,9.999999999998899e-05
grid_20x20_a16,0.042950000000000044,0.04231666666666667,0.04401666666666665,-0.009916666666666685,0.018816666666666648,0.3226333333333333,0.018366666666666698
grid_20x20_a18,0.06293333333333331,0.06251666666666661,0.06321666666666662,-0.0068000000000000005,0.02746666666666661,0.2377333333333333,0.04119999999999996
grid_20x20_a20,0.05131666666666662,0.05223333333333341,0.05121666666666669,-0.014866666666666695,0.03171666666666667,0.2544666666666667,0.028333333333333377
grid_20x20_a22,-0.0659333333333334,-0.06848333333333334,-0.0655,-0.022700000000000053,0.11503333333333332,0.5949333333333333,-0.18245
grid_20x20_a24,0.13528333333333353,0.1367833333333336,0.13656666666666684,0.013650000000000162,0.10131666666666672,1.1108166666666668,0.16580000000000017
grid_20x20_a26,-0.22150000000000003,-0.22350000000000003,-0.21816666666666684,0.6389666666666666,0.5661833333333333,1.386,-0.12933333333333352
grid_20x20_a28,-0.0030166666666666675,-0.0012333333333334195,-0.002366666666666739,0.15995000000000004,-0.14854999999999985,0.8651166666666666,0.1427166666666666
grid_20x20_a30,-0.9446666666666665,-0.9448333333333334,-0.9405000000000001,-0.37550000000000017,-0.8531666666666666,1.2325,-1.0531666666666668
Total,-0.9376016666666664,-0.9399766666666667,-0.9263733333333336,0.27137333333333324,-0.1800166666666666,6.717725,-0.9769750000000001
