,name,3,5,10,EXP,EXP 1.4,EXP 1.6,SMT-CBS
0,warehouse_a2,6.03,5.88,6.00,6.08,5.71,5.62,6.05
1,warehouse_a4,4.92,4.79,4.80,4.86,4.74,4.51,4.88
2,warehouse_a6,8.20,8.12,7.75,7.93,7.55,7.85,8.22
3,warehouse_a8,27.03,26.91,27.74,28.31,26.33,26.56,27.54
4,warehouse_a10,48.74,44.95,51.29,56.36,51.40,51.08,61.09
5,warehouse_a12,50.92,47.94,48.31,55.98,49.71,49.43,49.24
6,warehouse_a14,65.01,51.22,50.83,62.61,52.60,51.20,57.63
7,warehouse_a16,42.29,35.36,38.32,44.15,33.64,34.38,33.98
,,253.15,225.17,235.05,266.27,231.69,230.62,248.62
